Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Analyst,-1,4.1,"Aureus Group
4.1","Auburn Hills, MI",501 to 1000 Employees,1969,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Data Scientist - Inference and Analytics,-1,4.8,"Collage.com
4.8",Michigan,51 to 200 Employees,2011,Company - Private,Internet,Information Technology,$50 to $100 million (USD)
Data Scientist for Corporate Finance,$68K - $108K (Glassdoor est.),4.1,"Ford Motor Company
4.1","Dearborn, MI",10000+ Employees,1903,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
"Data Scientist, Machine Learning Engineer",$61K - $102K (Glassdoor est.),3.6,"AAA Life Insurance Company
3.6","Livonia, MI",201 to 500 Employees,1999,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD)
"Data Scientist, Data Sciences",$65K - $105K (Glassdoor est.),4.0,"Starcom
4.0","Birmingham, MI",1 to 50 Employees,Unknown,Unknown / Non-Applicable,-1,-1,-1
Data Science,-1,-1,Globalmax Solutions,"Rochester, MI",-1,-1,-1,-1,-1,-1
Data Engineer,$62K - $118K (Glassdoor est.),4.0,"StockX
4.0","Detroit, MI",1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Scientists Modeling,$64K - $120K (Glassdoor est.),4.2,"Altair Engineering
4.2","Dearborn, MI",1001 to 5000 Employees,1985,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
"Data Scientist, Data Sciences",$66K - $121K (Glassdoor est.),3.7,"Starcom
3.7","Birmingham, MI",5001 to 10000 Employees,1997,Company - Public,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Data Analyst,-1,3.5,"Kelly
3.5","Norton Shores, MI",5001 to 10000 Employees,1946,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD)
Senior Data Scientist,$85K - $140K (Glassdoor est.),3.9,"Quicken Loans
3.9","Detroit, MI",10000+ Employees,1985,Company - Private,Lending,Finance,$10+ billion (USD)
117240 - Data Scientist,$63K - $104K (Glassdoor est.),3.9,"Henry Ford Health System
3.9","Troy, MI",10000+ Employees,1915,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
Data Scientists,$68K - $116K (Glassdoor est.),4.2,"Altair Engineering
4.2","Dearborn, MI",1001 to 5000 Employees,1985,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
Data Scientist- AI/ML,$68K - $108K (Glassdoor est.),4.1,"Ford Motor Company
4.1","Dearborn, MI",10000+ Employees,1903,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
Connected Vehicle Data Scientist,$68K - $109K (Glassdoor est.),4.1,"Ford Motor Company
4.1","Dearborn, MI",10000+ Employees,1903,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
Division of Red Ventures,Michigan,3.9,"Red Ventures - Digital
3.9","Data Scientist II, Financial Services (Remote)",1001 to 5000 Employees,2000,Company - Private,Advertising & Marketing,Business Services,$1 to $2 billion (USD)
Supply Chain Analytics - Data Scientist,$90K - $105K (Glassdoor est.),4.1,"Ford Motor Company
4.1","Dearborn, MI",10000+ Employees,1903,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
Environmental Scientist/Geologist,$36K - $75K (Glassdoor est.),-1,Michigan Consulting and Environmental,"Mount Pleasant, MI",-1,-1,-1,-1,-1,-1
